server_round,client_id,bytes_received_update,bytes_sent_global,num_samples,round_duration_sec,timestamp
0,client_0,4995,9467,60000,45.645258,2026-03-01 20:09:36
0,client_1,4995,9467,60000,45.645258,2026-03-01 20:09:36
0,client_2,4995,9467,60000,45.645258,2026-03-01 20:09:36
0,client_3,4995,9467,60000,45.645258,2026-03-01 20:09:36
0,client_4,4995,9467,60000,45.645258,2026-03-01 20:09:36
0,client_5,4995,9467,60000,45.645258,2026-03-01 20:09:36
1,client_3,4995,9467,60000,7.664843,2026-03-01 20:09:44
1,client_5,4995,9467,60000,7.664843,2026-03-01 20:09:44
1,client_2,4995,9467,60000,7.664843,2026-03-01 20:09:44
1,client_0,4995,9467,60000,7.664843,2026-03-01 20:09:44
1,client_4,4995,9467,60000,7.664843,2026-03-01 20:09:44
1,client_1,4995,9467,60000,7.664843,2026-03-01 20:09:44
2,client_1,4995,9467,60000,0.702101,2026-03-01 20:09:51
2,client_2,4995,9467,60000,0.702101,2026-03-01 20:09:51
2,client_5,4995,9467,60000,0.702101,2026-03-01 20:09:51
2,client_3,4995,9467,60000,0.702101,2026-03-01 20:09:51
2,client_4,4995,9467,60000,0.702101,2026-03-01 20:09:51
2,client_0,4995,9467,60000,0.702101,2026-03-01 20:09:51
3,client_0,4995,9467,60000,0.793065,2026-03-01 20:09:59
3,client_1,4995,9467,60000,0.793065,2026-03-01 20:09:59
3,client_2,4995,9467,60000,0.793065,2026-03-01 20:09:59
3,client_3,4995,9467,60000,0.793065,2026-03-01 20:09:59
3,client_5,4995,9467,60000,0.793065,2026-03-01 20:09:59
3,client_4,4995,9467,60000,0.793065,2026-03-01 20:09:59
4,client_4,4995,9467,60000,0.761836,2026-03-01 20:10:07
4,client_0,4995,9467,60000,0.761836,2026-03-01 20:10:07
4,client_2,4995,9467,60000,0.761836,2026-03-01 20:10:07
4,client_3,4995,9467,60000,0.761836,2026-03-01 20:10:07
4,client_1,4995,9467,60000,0.761836,2026-03-01 20:10:07
4,client_5,4995,9467,60000,0.761836,2026-03-01 20:10:07
5,client_5,4995,9467,60000,0.790075,2026-03-01 20:10:15
5,client_0,4995,9467,60000,0.790075,2026-03-01 20:10:15
5,client_4,4995,9467,60000,0.790075,2026-03-01 20:10:15
5,client_2,4995,9467,60000,0.790075,2026-03-01 20:10:15
5,client_3,4995,9467,60000,0.790075,2026-03-01 20:10:15
5,client_1,4995,9467,60000,0.790075,2026-03-01 20:10:15
6,client_1,4995,9467,60000,3.479626,2026-03-01 20:10:26
6,client_0,4995,9467,60000,3.479626,2026-03-01 20:10:26
6,client_4,4995,9467,60000,3.479626,2026-03-01 20:10:26
6,client_2,4995,9467,60000,3.479626,2026-03-01 20:10:26
6,client_3,4995,9467,60000,3.479626,2026-03-01 20:10:26
6,client_5,4995,9467,60000,3.479626,2026-03-01 20:10:26
7,client_5,4995,9467,60000,2.862663,2026-03-01 20:10:36
7,client_0,4995,9467,60000,2.862663,2026-03-01 20:10:36
7,client_4,4995,9467,60000,2.862663,2026-03-01 20:10:36
7,client_2,4995,9467,60000,2.862663,2026-03-01 20:10:36
7,client_3,4995,9467,60000,2.862663,2026-03-01 20:10:36
7,client_1,4995,9467,60000,2.862663,2026-03-01 20:10:36
8,client_1,4995,9467,60000,0.646297,2026-03-01 20:10:44
8,client_5,4995,9467,60000,0.646297,2026-03-01 20:10:44
8,client_4,4995,9467,60000,0.646297,2026-03-01 20:10:44
8,client_0,4995,9467,60000,0.646297,2026-03-01 20:10:44
8,client_2,4995,9467,60000,0.646297,2026-03-01 20:10:44
8,client_3,4995,9467,60000,0.646297,2026-03-01 20:10:44
9,client_3,4995,9467,60000,0.790766,2026-03-01 20:10:52
9,client_5,4995,9467,60000,0.790766,2026-03-01 20:10:52
9,client_4,4995,9467,60000,0.790766,2026-03-01 20:10:52
9,client_1,4995,9467,60000,0.790766,2026-03-01 20:10:52
9,client_0,4995,9467,60000,0.790766,2026-03-01 20:10:52
9,client_2,4995,9467,60000,0.790766,2026-03-01 20:10:52
10,client_2,4995,9467,60000,0.762349,2026-03-01 20:11:00
10,client_5,4995,9467,60000,0.762349,2026-03-01 20:11:00
10,client_3,4995,9467,60000,0.762349,2026-03-01 20:11:00
10,client_4,4995,9467,60000,0.762349,2026-03-01 20:11:00
10,client_0,4995,9467,60000,0.762349,2026-03-01 20:11:00
10,client_1,4995,9467,60000,0.762349,2026-03-01 20:11:00
11,client_1,4995,9467,60000,0.511670,2026-03-01 20:11:08
11,client_2,4995,9467,60000,0.511670,2026-03-01 20:11:08
11,client_5,4995,9467,60000,0.511670,2026-03-01 20:11:08
11,client_3,4995,9467,60000,0.511670,2026-03-01 20:11:08
11,client_4,4995,9467,60000,0.511670,2026-03-01 20:11:08
11,client_0,4995,9467,60000,0.511670,2026-03-01 20:11:08
12,client_0,4995,9467,60000,0.805481,2026-03-01 20:11:16
12,client_2,4995,9467,60000,0.805481,2026-03-01 20:11:16
12,client_1,4995,9467,60000,0.805481,2026-03-01 20:11:16
12,client_3,4995,9467,60000,0.805481,2026-03-01 20:11:16
12,client_5,4995,9467,60000,0.805481,2026-03-01 20:11:16
12,client_4,4995,9467,60000,0.805481,2026-03-01 20:11:16
13,client_4,4995,9467,60000,0.673697,2026-03-01 20:11:24
13,client_0,4995,9467,60000,0.673697,2026-03-01 20:11:24
13,client_2,4995,9467,60000,0.673697,2026-03-01 20:11:24
13,client_1,4995,9467,60000,0.673697,2026-03-01 20:11:24
13,client_3,4995,9467,60000,0.673697,2026-03-01 20:11:24
13,client_5,4995,9467,60000,0.673697,2026-03-01 20:11:24
14,client_5,4995,9467,60000,0.495994,2026-03-01 20:11:31
14,client_0,4995,9467,60000,0.495994,2026-03-01 20:11:31
14,client_4,4995,9467,60000,0.495994,2026-03-01 20:11:31
14,client_1,4995,9467,60000,0.495994,2026-03-01 20:11:31
14,client_2,4995,9467,60000,0.495994,2026-03-01 20:11:31
14,client_3,4995,9467,60000,0.495994,2026-03-01 20:11:31
15,client_5,4995,9467,60000,0.602208,2026-03-01 20:11:39
15,client_3,4995,9467,60000,0.602208,2026-03-01 20:11:39
15,client_1,4995,9467,60000,0.602208,2026-03-01 20:11:39
15,client_4,4995,9467,60000,0.602208,2026-03-01 20:11:39
15,client_0,4995,9467,60000,0.602208,2026-03-01 20:11:39
15,client_2,4995,9467,60000,0.602208,2026-03-01 20:11:39
16,client_2,4995,9467,60000,0.555011,2026-03-01 20:11:47
16,client_3,4995,9467,60000,0.555011,2026-03-01 20:11:47
16,client_4,4995,9467,60000,0.555011,2026-03-01 20:11:47
16,client_5,4995,9467,60000,0.555011,2026-03-01 20:11:47
16,client_0,4995,9467,60000,0.555011,2026-03-01 20:11:47
16,client_1,4995,9467,60000,0.555011,2026-03-01 20:11:47
17,client_3,4995,9467,60000,0.553764,2026-03-01 20:11:55
17,client_1,4995,9467,60000,0.553764,2026-03-01 20:11:55
17,client_4,4995,9467,60000,0.553764,2026-03-01 20:11:55
17,client_0,4995,9467,60000,0.553764,2026-03-01 20:11:55
17,client_2,4995,9467,60000,0.553764,2026-03-01 20:11:55
17,client_5,4995,9467,60000,0.553764,2026-03-01 20:11:55
18,client_5,4995,9467,60000,0.979890,2026-03-01 20:12:04
18,client_2,4995,9467,60000,0.979890,2026-03-01 20:12:04
18,client_0,4995,9467,60000,0.979890,2026-03-01 20:12:04
18,client_1,4995,9467,60000,0.979890,2026-03-01 20:12:04
18,client_4,4995,9467,60000,0.979890,2026-03-01 20:12:04
18,client_3,4995,9467,60000,0.979890,2026-03-01 20:12:04
19,client_3,4995,9467,60000,0.565181,2026-03-01 20:12:12
19,client_5,4995,9467,60000,0.565181,2026-03-01 20:12:12
19,client_1,4995,9467,60000,0.565181,2026-03-01 20:12:12
19,client_4,4995,9467,60000,0.565181,2026-03-01 20:12:12
19,client_2,4995,9467,60000,0.565181,2026-03-01 20:12:12
19,client_0,4995,9467,60000,0.565181,2026-03-01 20:12:12
20,client_1,4995,9467,60000,2.559360,2026-03-01 20:12:23
20,client_3,4995,9467,60000,2.559360,2026-03-01 20:12:23
20,client_2,4995,9467,60000,2.559360,2026-03-01 20:12:23
20,client_4,4995,9467,60000,2.559360,2026-03-01 20:12:23
20,client_5,4995,9467,60000,2.559360,2026-03-01 20:12:23
20,client_0,4995,9467,60000,2.559360,2026-03-01 20:12:23
21,client_4,4995,9467,60000,7.874157,2026-03-01 20:12:30
21,client_5,4995,9467,60000,7.874157,2026-03-01 20:12:30
21,client_0,4995,9467,60000,7.874157,2026-03-01 20:12:30
21,client_3,4995,9467,60000,7.874157,2026-03-01 20:12:30
21,client_2,4995,9467,60000,7.874157,2026-03-01 20:12:30
21,client_1,4995,9467,60000,7.874157,2026-03-01 20:12:30
22,client_1,4995,9467,60000,0.552784,2026-03-01 20:12:39
22,client_4,4995,9467,60000,0.552784,2026-03-01 20:12:39
22,client_0,4995,9467,60000,0.552784,2026-03-01 20:12:39
22,client_5,4995,9467,60000,0.552784,2026-03-01 20:12:39
22,client_2,4995,9467,60000,0.552784,2026-03-01 20:12:39
22,client_3,4995,9467,60000,0.552784,2026-03-01 20:12:39
23,client_4,4995,9467,60000,0.487133,2026-03-01 20:12:47
23,client_3,4995,9467,60000,0.487133,2026-03-01 20:12:47
23,client_0,4995,9467,60000,0.487133,2026-03-01 20:12:47
23,client_1,4995,9467,60000,0.487133,2026-03-01 20:12:47
23,client_5,4995,9467,60000,0.487133,2026-03-01 20:12:47
23,client_2,4995,9467,60000,0.487133,2026-03-01 20:12:47
24,client_4,4995,9467,60000,0.498874,2026-03-01 20:12:55
24,client_2,4995,9467,60000,0.498874,2026-03-01 20:12:55
24,client_3,4995,9467,60000,0.498874,2026-03-01 20:12:55
24,client_1,4995,9467,60000,0.498874,2026-03-01 20:12:55
24,client_0,4995,9467,60000,0.498874,2026-03-01 20:12:55
24,client_5,4995,9467,60000,0.498874,2026-03-01 20:12:55
25,client_4,4995,9467,60000,0.449982,2026-03-01 20:13:03
25,client_3,4995,9467,60000,0.449982,2026-03-01 20:13:03
25,client_5,4995,9467,60000,0.449982,2026-03-01 20:13:03
25,client_2,4995,9467,60000,0.449982,2026-03-01 20:13:03
25,client_1,4995,9467,60000,0.449982,2026-03-01 20:13:03
25,client_0,4995,9467,60000,0.449982,2026-03-01 20:13:03
26,client_4,4995,9467,60000,0.229832,2026-03-01 20:13:10
26,client_0,4995,9467,60000,0.229832,2026-03-01 20:13:10
26,client_3,4995,9467,60000,0.229832,2026-03-01 20:13:10
26,client_1,4995,9467,60000,0.229832,2026-03-01 20:13:10
26,client_5,4995,9467,60000,0.229832,2026-03-01 20:13:10
26,client_2,4995,9467,60000,0.229832,2026-03-01 20:13:10
27,client_2,4995,9467,60000,0.778034,2026-03-01 20:13:18
27,client_4,4995,9467,60000,0.778034,2026-03-01 20:13:18
27,client_0,4995,9467,60000,0.778034,2026-03-01 20:13:18
27,client_3,4995,9467,60000,0.778034,2026-03-01 20:13:18
27,client_5,4995,9467,60000,0.778034,2026-03-01 20:13:18
27,client_1,4995,9467,60000,0.778034,2026-03-01 20:13:18
0,client_1,1923,3323,60000,50.287997,2026-03-01 20:21:01
0,client_2,1923,3323,60000,50.287997,2026-03-01 20:21:01
0,client_3,1923,3323,60000,50.287997,2026-03-01 20:21:01
0,client_4,1923,3323,60000,50.287997,2026-03-01 20:21:01
0,client_5,1923,3323,60000,50.287997,2026-03-01 20:21:01
0,client_0,1923,3323,60000,50.287997,2026-03-01 20:21:01
1,client_4,1923,3323,60000,2.708405,2026-03-01 20:21:11
1,client_5,1923,3323,60000,2.708405,2026-03-01 20:21:11
1,client_1,1923,3323,60000,2.708405,2026-03-01 20:21:11
1,client_3,1923,3323,60000,2.708405,2026-03-01 20:21:11
1,client_2,1923,3323,60000,2.708405,2026-03-01 20:21:11
1,client_0,1923,3323,60000,2.708405,2026-03-01 20:21:11
2,client_0,1923,3323,60000,0.475560,2026-03-01 20:21:20
2,client_5,1923,3323,60000,0.475560,2026-03-01 20:21:20
2,client_3,1923,3323,60000,0.475560,2026-03-01 20:21:20
2,client_2,1923,3323,60000,0.475560,2026-03-01 20:21:20
2,client_4,1923,3323,60000,0.475560,2026-03-01 20:21:20
2,client_1,1923,3323,60000,0.475560,2026-03-01 20:21:20
3,client_1,1923,3323,60000,0.765875,2026-03-01 20:21:28
3,client_0,1923,3323,60000,0.765875,2026-03-01 20:21:28
3,client_5,1923,3323,60000,0.765875,2026-03-01 20:21:28
3,client_3,1923,3323,60000,0.765875,2026-03-01 20:21:28
3,client_2,1923,3323,60000,0.765875,2026-03-01 20:21:28
3,client_4,1923,3323,60000,0.765875,2026-03-01 20:21:28
4,client_4,1923,3323,60000,0.807287,2026-03-01 20:21:36
4,client_0,1923,3323,60000,0.807287,2026-03-01 20:21:36
4,client_1,1923,3323,60000,0.807287,2026-03-01 20:21:36
4,client_5,1923,3323,60000,0.807287,2026-03-01 20:21:36
4,client_3,1923,3323,60000,0.807287,2026-03-01 20:21:36
4,client_2,1923,3323,60000,0.807287,2026-03-01 20:21:36
5,client_2,1923,3323,60000,0.788110,2026-03-01 20:21:43
5,client_4,1923,3323,60000,0.788110,2026-03-01 20:21:43
5,client_0,1923,3323,60000,0.788110,2026-03-01 20:21:43
5,client_5,1923,3323,60000,0.788110,2026-03-01 20:21:43
5,client_1,1923,3323,60000,0.788110,2026-03-01 20:21:43
5,client_3,1923,3323,60000,0.788110,2026-03-01 20:21:43
6,client_3,1923,3323,60000,1.061971,2026-03-01 20:21:52
6,client_2,1923,3323,60000,1.061971,2026-03-01 20:21:52
6,client_4,1923,3323,60000,1.061971,2026-03-01 20:21:52
6,client_5,1923,3323,60000,1.061971,2026-03-01 20:21:52
6,client_0,1923,3323,60000,1.061971,2026-03-01 20:21:52
6,client_1,1923,3323,60000,1.061971,2026-03-01 20:21:52
7,client_1,1923,3323,60000,0.917332,2026-03-01 20:22:00
7,client_2,1923,3323,60000,0.917332,2026-03-01 20:22:00
7,client_4,1923,3323,60000,0.917332,2026-03-01 20:22:00
7,client_0,1923,3323,60000,0.917332,2026-03-01 20:22:00
7,client_3,1923,3323,60000,0.917332,2026-03-01 20:22:00
7,client_5,1923,3323,60000,0.917332,2026-03-01 20:22:00
8,client_5,1923,3323,60000,0.312988,2026-03-01 20:22:08
8,client_4,1923,3323,60000,0.312988,2026-03-01 20:22:08
8,client_1,1923,3323,60000,0.312988,2026-03-01 20:22:08
8,client_3,1923,3323,60000,0.312988,2026-03-01 20:22:08
8,client_2,1923,3323,60000,0.312988,2026-03-01 20:22:08
8,client_0,1923,3323,60000,0.312988,2026-03-01 20:22:08
9,client_0,1923,3323,60000,1.196179,2026-03-01 20:22:17
9,client_5,1923,3323,60000,1.196179,2026-03-01 20:22:17
9,client_4,1923,3323,60000,1.196179,2026-03-01 20:22:17
9,client_3,1923,3323,60000,1.196179,2026-03-01 20:22:17
9,client_1,1923,3323,60000,1.196179,2026-03-01 20:22:17
9,client_2,1923,3323,60000,1.196179,2026-03-01 20:22:17
0,client_0,1923,3323,60000,60.184959,2026-03-01 20:25:22
0,client_1,1923,3323,60000,60.184959,2026-03-01 20:25:22
0,client_2,1923,3323,60000,60.184959,2026-03-01 20:25:22
0,client_3,1923,3323,60000,60.184959,2026-03-01 20:25:22
0,client_4,1923,3323,60000,60.184959,2026-03-01 20:25:22
0,client_5,1923,3323,60000,60.184959,2026-03-01 20:25:22
1,client_5,1923,3323,60000,1.017542,2026-03-01 20:25:31
1,client_0,1923,3323,60000,1.017542,2026-03-01 20:25:31
1,client_4,1923,3323,60000,1.017542,2026-03-01 20:25:31
1,client_2,1923,3323,60000,1.017542,2026-03-01 20:25:31
1,client_3,1923,3323,60000,1.017542,2026-03-01 20:25:31
1,client_1,1923,3323,60000,1.017542,2026-03-01 20:25:31
2,client_1,1923,3323,60000,3.067179,2026-03-01 20:25:41
2,client_3,1923,3323,60000,3.067179,2026-03-01 20:25:41
2,client_4,1923,3323,60000,3.067179,2026-03-01 20:25:41
2,client_2,1923,3323,60000,3.067179,2026-03-01 20:25:41
2,client_5,1923,3323,60000,3.067179,2026-03-01 20:25:41
2,client_0,1923,3323,60000,3.067179,2026-03-01 20:25:41
3,client_0,1923,3323,60000,0.495443,2026-03-01 20:25:49
3,client_2,1923,3323,60000,0.495443,2026-03-01 20:25:49
3,client_4,1923,3323,60000,0.495443,2026-03-01 20:25:49
3,client_5,1923,3323,60000,0.495443,2026-03-01 20:25:49
3,client_3,1923,3323,60000,0.495443,2026-03-01 20:25:49
3,client_1,1923,3323,60000,0.495443,2026-03-01 20:25:49
4,client_1,1923,3323,60000,0.637199,2026-03-01 20:25:56
4,client_0,1923,3323,60000,0.637199,2026-03-01 20:25:56
4,client_2,1923,3323,60000,0.637199,2026-03-01 20:25:56
4,client_5,1923,3323,60000,0.637199,2026-03-01 20:25:56
4,client_4,1923,3323,60000,0.637199,2026-03-01 20:25:56
4,client_3,1923,3323,60000,0.637199,2026-03-01 20:25:56
5,client_3,1923,3323,60000,0.800195,2026-03-01 20:26:04
5,client_0,1923,3323,60000,0.800195,2026-03-01 20:26:04
5,client_2,1923,3323,60000,0.800195,2026-03-01 20:26:04
5,client_1,1923,3323,60000,0.800195,2026-03-01 20:26:04
5,client_5,1923,3323,60000,0.800195,2026-03-01 20:26:04
5,client_4,1923,3323,60000,0.800195,2026-03-01 20:26:04
6,client_4,1923,3323,60000,0.772595,2026-03-01 20:26:12
6,client_0,1923,3323,60000,0.772595,2026-03-01 20:26:12
6,client_3,1923,3323,60000,0.772595,2026-03-01 20:26:12
6,client_2,1923,3323,60000,0.772595,2026-03-01 20:26:12
6,client_1,1923,3323,60000,0.772595,2026-03-01 20:26:12
6,client_5,1923,3323,60000,0.772595,2026-03-01 20:26:12
7,client_5,1923,3323,60000,3.889028,2026-03-01 20:26:23
7,client_4,1923,3323,60000,3.889028,2026-03-01 20:26:23
7,client_3,1923,3323,60000,3.889028,2026-03-01 20:26:23
7,client_2,1923,3323,60000,3.889028,2026-03-01 20:26:23
7,client_1,1923,3323,60000,3.889028,2026-03-01 20:26:23
7,client_0,1923,3323,60000,3.889028,2026-03-01 20:26:23
8,client_3,1923,3323,60000,7.491042,2026-03-01 20:26:30
8,client_0,1923,3323,60000,7.491042,2026-03-01 20:26:30
8,client_2,1923,3323,60000,7.491042,2026-03-01 20:26:30
8,client_1,1923,3323,60000,7.491042,2026-03-01 20:26:30
8,client_4,1923,3323,60000,7.491042,2026-03-01 20:26:30
8,client_5,1923,3323,60000,7.491042,2026-03-01 20:26:30
9,client_5,1923,3323,60000,0.496996,2026-03-01 20:26:38
9,client_0,1923,3323,60000,0.496996,2026-03-01 20:26:38
9,client_3,1923,3323,60000,0.496996,2026-03-01 20:26:38
9,client_2,1923,3323,60000,0.496996,2026-03-01 20:26:38
9,client_1,1923,3323,60000,0.496996,2026-03-01 20:26:38
9,client_4,1923,3323,60000,0.496996,2026-03-01 20:26:38
10,client_4,1923,3323,60000,0.447410,2026-03-01 20:26:45
10,client_5,1923,3323,60000,0.447410,2026-03-01 20:26:45
10,client_0,1923,3323,60000,0.447410,2026-03-01 20:26:45
10,client_3,1923,3323,60000,0.447410,2026-03-01 20:26:45
10,client_2,1923,3323,60000,0.447410,2026-03-01 20:26:45
10,client_1,1923,3323,60000,0.447410,2026-03-01 20:26:45
11,client_1,1923,3323,60000,0.532774,2026-03-01 20:26:53
11,client_4,1923,3323,60000,0.532774,2026-03-01 20:26:53
11,client_5,1923,3323,60000,0.532774,2026-03-01 20:26:53
11,client_0,1923,3323,60000,0.532774,2026-03-01 20:26:53
11,client_3,1923,3323,60000,0.532774,2026-03-01 20:26:53
11,client_2,1923,3323,60000,0.532774,2026-03-01 20:26:53
12,client_2,1923,3323,60000,0.970202,2026-03-01 20:27:01
12,client_4,1923,3323,60000,0.970202,2026-03-01 20:27:01
12,client_5,1923,3323,60000,0.970202,2026-03-01 20:27:01
12,client_0,1923,3323,60000,0.970202,2026-03-01 20:27:01
12,client_3,1923,3323,60000,0.970202,2026-03-01 20:27:01
12,client_1,1923,3323,60000,0.970202,2026-03-01 20:27:01
13,client_1,1923,3323,60000,0.610609,2026-03-01 20:27:09
13,client_2,1923,3323,60000,0.610609,2026-03-01 20:27:09
13,client_4,1923,3323,60000,0.610609,2026-03-01 20:27:09
13,client_3,1923,3323,60000,0.610609,2026-03-01 20:27:09
13,client_5,1923,3323,60000,0.610609,2026-03-01 20:27:09
